,cell.ID,nucleus.x,nucleus.y,CD15.score.normalized,CK.score.normalized,CD3.score.normalized,CD11c.score.normalized,CD20.score.normalized,CD163.score.normalized,tissue.type,in.ROI.adipose_tissue,in.ROI.necrosis,in.ROI.tumor_tissue
260,332,9652.93,45660.57,0.21,0.54,0.69,0.0,0.08,0.9,stroma,False,False,True
261,333,9514.82,45615.34,0.02,0.46,0.26,0.0,0.18,0.2,stroma,False,False,True
262,334,9483.6,45590.0,0.0,0.12,0.29,0.0,0.12,0.09,stroma,False,False,True
263,335,9496.44,45499.97,0.0,1.3,0.58,0.14,0.17,0.61,stroma,False,False,True
264,336,9525.07,45525.57,0.0,0.24,0.32,0.31,0.11,0.67,stroma,False,False,True
265,337,9797.11,45358.66,0.46,0.0,0.12,0.45,0.18,0.41,stroma,False,False,True
266,338,9806.54,45534.91,0.11,0.41,0.31,0.09,0.06,0.91,stroma,False,False,True
267,339,9515.44,45685.57,0.0,1.59,0.0,0.24,0.21,0.66,tumor,False,False,True
268,340,9509.16,45651.51,0.65,0.4,0.0,0.05,0.13,0.06,stroma,False,False,True
269,341,9686.29,45700.17,0.06,0.51,0.23,0.35,0.05,0.12,stroma,False,False,True
270,342,9696.42,45794.42,0.34,2.16,0.88,0.18,0.36,0.5,tumor,False,False,True
271,343,9683.07,45742.37,0.55,1.59,0.61,0.05,0.2,0.09,stroma,False,False,True
272,344,9507.45,45614.25,0.15,1.19,0.0,0.0,0.14,0.73,stroma,False,False,True
